chord,note1,note2,note3,note4
C,C,E,G,
Db,Db,F,Ab,
C#,Db,F,Ab,
D,D,F#,A,
Eb,Eb,G,Bb,
D#,Eb,G,Bb,
E,E,G#,B,
F,F,A,C,
Gb,Gb,Bb,Db,
F#,Gb,Bb,Db,
G,G,B,D,
Ab,Ab,C,Eb,
G#,Ab,C,Eb,
A,A,C#,E,
Bb,Bb,D,F,
A#,Bb,D,F,
B,B,D#,F#,
Cm,C,Eb,G,
Dbm,Db,E,Ab,
C#m,Db,E,Ab,
Dm,D,F,A,
Ebm,Eb,Gb,Bb,
D#m,Eb,Gb,Bb,
Em,E,G,B,
Fm,F,Ab,C,
Gbm,Gb,A,Db,
F#m,Gb,A,Db,
Gm,G,Bb,D,
Abm,Ab,B,Eb,
G#m,Ab,B,Eb,
Am,A,C,E,
Bbm,Bb,Db,F,
A#m,Bb,Db,F,
Bm,B,D,F#,
C7,C,E,G,Bb
Db7,Db,F,Ab,B
C#7,Db,F,Ab,B
D7,D,F#,A,C
Eb7,Eb,G,Bb,Db
D#7,Eb,G,Bb,Db
E7,E,G#,B,D
F7,F,A,C,Eb
Gb7,Gb,Bb,Db,E
F#7,Gb,Bb,Db,E
G7,G,B,D,F
Ab7,Ab,C,Eb,F#
G#7,Ab,C,Eb,F#
A7,A,C#,E,G
Bb7,Bb,D,F,Ab
A#7,Bb,D,F,Ab
B7,B,D#,F#,A
Cm7,C,Eb,G,Bb
Dbm7,Db,E,Ab,B
C#m7,Db,E,Ab,B
Dm7,D,F,A,C
Ebm7,Eb,Gb,Bb,Db
D#m7,Eb,Gb,Bb,Db
Em7,E,G,B,D
Fm7,F,Ab,C,Eb
Gbm7,Gb,A,Db,E
F#m7,Gb,A,Db,E
Gm7,G,Bb,D,F
Abm7,Ab,B,Eb,F#
G#m7,Ab,B,Eb,F#
Am7,A,C,E,G
Bbm7,Bb,Db,F,Ab
A#m7,Bb,Db,F,Ab
Bm7,B,D,F#,A
